description,original_price,discount,reviews,ratings,sale,soldout,product_price
Kipusa Alika Beard Wash,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Alika Beard Conditioning Oil,,,No reviews,0.00,,Available,"KSh3,000.00"
Kipusa Alika Beard Oil Black Seed Conditioning,,,No reviews,0.00,,Available,"KSh4,000.00"
Mandevu Beard Oil,"KSh1,600.00",20,1 review,5.00,Sale,Available,"KSh1,600.00"
Mandevu Beard Balm,"KSh1,400.00",20,1 review,5.00,Sale,Available,"KSh1,400.00"
Mandevu Beard Comb,"KSh1,000.00",20,1 review,5.00,Sale,Available,"KSh1,000.00"
Mandevu Round Brush,KSh700.00,20,1 review,5.00,Sale,Available,KSh700.00
Mandevu Beard & Hair Wash,KSh900.00,20,No reviews,0.00,Sale,Available,KSh900.00
Mandevu Leather Bag - Brown,"KSh3,000.00",20,1 review,5.00,Sale,Available,"KSh3,000.00"
Mandevu Wash Bag,"KSh1,000.00",20,1 review,5.00,Sale,Available,"KSh1,000.00"
Mandevu Beard Care Set,,,No reviews,0.00,,Available,"KSh6,000.00"
